antecedents,consequents,support,confidence,lift
"frozenset({'packaged vegetables fruits', 'canned jarred vegetables'})","frozenset({'canned meals beans', 'fresh vegetables'})",0.010457237368617617,0.2606382978723404,4.954506710974925
"frozenset({'canned meals beans', 'fresh vegetables'})","frozenset({'fresh fruits', 'canned jarred vegetables'})",0.013338312970175532,0.25354969574036507,4.924644504934365
"frozenset({'fresh fruits', 'canned jarred vegetables'})","frozenset({'canned meals beans', 'fresh vegetables'})",0.013338312970175532,0.25906735751295334,4.924644504934365
"frozenset({'fresh vegetables', 'pasta sauce'})","frozenset({'fresh fruits', 'dry pasta'})",0.011044123139305341,0.2568238213399504,4.823295474323337
"frozenset({'fresh fruits', 'dry pasta'})","frozenset({'fresh vegetables', 'pasta sauce'})",0.011044123139305341,0.20741482965931862,4.823295474323336
"frozenset({'canned meals beans', 'packaged vegetables fruits'})","frozenset({'fresh vegetables', 'canned jarred vegetables'})",0.010457237368617617,0.2733612273361227,4.6919500768873155
"frozenset({'pasta sauce', 'fresh fruits'})","frozenset({'fresh vegetables', 'dry pasta'})",0.011044123139305341,0.2415402567094516,4.6337656412540955
"frozenset({'fresh vegetables', 'dry pasta'})","frozenset({'pasta sauce', 'fresh fruits'})",0.011044123139305341,0.21187308085977483,4.6337656412540955
"frozenset({'fresh vegetables', 'canned jarred vegetables'})","frozenset({'canned meals beans', 'fresh fruits'})",0.013338312970175532,0.22893772893772893,4.4744315469028715
"frozenset({'canned meals beans', 'fresh fruits'})","frozenset({'fresh vegetables', 'canned jarred vegetables'})",0.013338312970175532,0.26068821689259647,4.4744315469028715
"frozenset({'canned meals beans', 'fresh vegetables', 'packaged vegetables fruits'})",frozenset({'canned jarred vegetables'}),0.010457237368617617,0.3356164383561644,4.417457095582576
"frozenset({'fresh vegetables', 'pasta sauce', 'fresh fruits'})",frozenset({'dry pasta'}),0.011044123139305341,0.3360389610389611,4.3527147524210426
"frozenset({'packaged vegetables fruits', 'pasta sauce'})",frozenset({'dry pasta'}),0.011417595902470256,0.33594976452119313,4.351559389371612
"frozenset({'canned meals beans', 'fresh vegetables', 'fresh fruits'})",frozenset({'canned jarred vegetables'}),0.013338312970175532,0.32981530343007914,4.341101286650262
"frozenset({'fresh fruits', 'dry pasta'})",frozenset({'pasta sauce'}),0.01525903003788081,0.2865731462925852,4.328155101500341
frozenset({'pasta sauce'}),"frozenset({'fresh fruits', 'dry pasta'})",0.01525903003788081,0.23045930701047543,4.328155101500341
"frozenset({'packaged vegetables fruits', 'dry pasta'})",frozenset({'pasta sauce'}),0.011417595902470256,0.28647925033467203,4.326736977455889
"frozenset({'pasta sauce', 'fresh fruits'})",frozenset({'dry pasta'}),0.01525903003788081,0.3337222870478413,4.322706859804899
"frozenset({'fresh vegetables', 'pasta sauce'})",frozenset({'dry pasta'}),0.01403190524462466,0.326302729528536,4.2266012851094334
frozenset({'canned jarred vegetables'}),"frozenset({'canned meals beans', 'fresh vegetables'})",0.016699567838659765,0.21980337078651682,4.178270363744102
"frozenset({'canned meals beans', 'fresh vegetables'})",frozenset({'canned jarred vegetables'}),0.016699567838659765,0.3174442190669371,4.178270363744102
"frozenset({'fresh vegetables', 'fresh fruits', 'dry pasta'})",frozenset({'pasta sauce'}),0.011044123139305341,0.276,4.168467365028203
frozenset({'dry pasta'}),frozenset({'pasta sauce'}),0.02128794750040015,0.2757429163787146,4.164584594428886
frozenset({'pasta sauce'}),frozenset({'dry pasta'}),0.02128794750040015,0.32151490733279614,4.164584594428886
"frozenset({'fresh vegetables', 'fresh fruits', 'canned jarred vegetables'})",frozenset({'canned meals beans'}),0.013338312970175532,0.3090234857849196,4.146046667191659
"frozenset({'fresh vegetables', 'packaged vegetables fruits', 'canned jarred vegetables'})",frozenset({'canned meals beans'}),0.010457237368617617,0.3043478260869565,4.083315178488064
"frozenset({'fresh vegetables', 'dry pasta'})",frozenset({'pasta sauce'}),0.01403190524462466,0.26919140225179117,4.065636142147721
frozenset({'pasta sauce'}),"frozenset({'fresh vegetables', 'dry pasta'})",0.01403190524462466,0.2119258662369057,4.065636142147721
"frozenset({'canned meals beans', 'packaged vegetables fruits'})",frozenset({'canned jarred vegetables'}),0.011631008909993064,0.30404463040446306,4.001902041903687
"frozenset({'packaged vegetables fruits', 'canned jarred vegetables'})",frozenset({'canned meals beans'}),0.011631008909993064,0.2898936170212766,3.8893887357407206
"frozenset({'fresh fruits', 'canned jarred vegetables'})",frozenset({'canned meals beans'}),0.014832204022835192,0.28808290155440414,3.8650950779056528
